Ticker,Old Price,Date,Type,Original Currency
CUKX.L,10421.0,2018-03-25,ETF,GBp
CUKX.L,10903.0,2018-04-08,ETF,GBp
CUKX.L,10938.0,2018-04-15,ETF,GBp
CUKX.L,11253.0,2018-04-22,ETF,GBp
CUKX.L,11419.0,2018-04-29,ETF,GBp
CUKX.L,11767.0,2018-05-13,ETF,GBp
CUKX.L,12017.0,2018-05-20,ETF,GBp
CUKX.L,11862.0,2018-06-03,ETF,GBp
CUKX.L,11879.0,2018-06-10,ETF,GBp
CUKX.L,11702.0,2018-06-17,ETF,GBp
CUKX.L,11511.0,2018-06-24,ETF,GBp
CUKX.L,11603.0,2018-07-01,ETF,GBp
CUKX.L,11810.0,2018-07-08,ETF,GBp
CUKX.L,11682.0,2018-07-15,ETF,GBp
CUKX.L,11760.0,2018-07-22,ETF,GBp
CUKX.L,11832.0,2018-07-29,ETF,GBp
CUKX.L,11776.0,2018-08-05,ETF,GBp
CUKX.L,11786.0,2018-08-12,ETF,GBp
CUKX.L,11766.0,2018-08-19,ETF,GBp
CUKX.L,11627.0,2018-09-02,ETF,GBp
CUKX.L,11280.0,2018-09-09,ETF,GBp
CUKX.L,11327.0,2018-09-16,ETF,GBp
CUKX.L,11585.0,2018-09-23,ETF,GBp
