Ticker,Old Price,Date,Type,Original Currency,FX Ticker,FX Rate
^OEX,568.75,2005-05-27,INDEX,USD,GBP=X,
^OEX,565.0999755859375,2005-06-03,INDEX,USD,GBP=X,
^OEX,566.1500244140625,2005-06-10,INDEX,USD,GBP=X,
^OEX,572.1500244140625,2005-06-17,INDEX,USD,GBP=X,
^OEX,559.760009765625,2005-06-24,INDEX,USD,GBP=X,
^OEX,558.8800048828125,2005-07-01,INDEX,USD,GBP=X,
^OEX,566.52001953125,2005-07-08,INDEX,USD,GBP=X,
^OEX,575.5499877929688,2005-07-15,INDEX,USD,GBP=X,
^OEX,574.4099731445312,2005-07-22,INDEX,USD,GBP=X,
^OEX,572.5900268554688,2005-07-29,INDEX,USD,GBP=X,
^OEX,570.469970703125,2005-08-05,INDEX,USD,GBP=X,
^OEX,570.7100219726562,2005-08-12,INDEX,USD,GBP=X,
^OEX,566.5800170898438,2005-08-19,INDEX,USD,GBP=X,
^OEX,558.719970703125,2005-08-26,INDEX,USD,GBP=X,
^OEX,563.0,2005-09-02,INDEX,USD,GBP=X,
^OEX,574.1300048828125,2005-09-09,INDEX,USD,GBP=X,
^OEX,573.3699951171875,2005-09-16,INDEX,USD,GBP=X,
^OEX,566.0599975585938,2005-09-20,INDEX,USD,GBP=X,
^OEX,562.280029296875,2005-09-23,INDEX,USD,GBP=X,
^OEX,566.7999877929688,2005-09-30,INDEX,USD,GBP=X,
^OEX,552.9199829101562,2005-10-07,INDEX,USD,GBP=X,
^OEX,550.489990234375,2005-10-14,INDEX,USD,GBP=X,
^OEX,544.5,2005-10-21,INDEX,USD,GBP=X,
^OEX,554.47998046875,2005-10-28,INDEX,USD,GBP=X,
^OEX,587.75,2006-03-31,INDEX,USD,GBP=X,
^OEX,586.7100219726562,2006-04-07,INDEX,USD,GBP=X,
^OEX,593.1300048828125,2006-04-21,INDEX,USD,GBP=X,
^OEX,595.8900146484375,2006-04-28,INDEX,USD,GBP=X,
^OEX,603.0399780273438,2006-05-05,INDEX,USD,GBP=X,
^OEX,588.7000122070312,2006-05-12,INDEX,USD,GBP=X,
^OEX,578.8800048828125,2006-05-19,INDEX,USD,GBP=X,
^OEX,586.4500122070312,2006-05-26,INDEX,USD,GBP=X,
^OEX,588.4400024414062,2006-06-02,INDEX,USD,GBP=X,
^OEX,572.75,2006-06-09,INDEX,USD,GBP=X,
^OEX,572.760009765625,2006-06-16,INDEX,USD,GBP=X,
^OEX,569.469970703125,2006-06-23,INDEX,USD,GBP=X,
^OEX,579.5599975585938,2006-06-30,INDEX,USD,GBP=X,
^OEX,580.6199951171875,2006-07-07,INDEX,USD,GBP=X,
^OEX,567.3200073242188,2006-07-14,INDEX,USD,GBP=X,
^OEX,572.5,2006-07-21,INDEX,USD,GBP=X,
^OEX,590.2000122070312,2006-07-28,INDEX,USD,GBP=X,
^OEX,589.0499877929688,2006-08-04,INDEX,USD,GBP=X,
^OEX,585.5999755859375,2006-08-11,INDEX,USD,GBP=X,
^OEX,601.5,2006-08-18,INDEX,USD,GBP=X,
^OEX,599.4099731445312,2006-08-25,INDEX,USD,GBP=X,
^OEX,605.5900268554688,2006-09-01,INDEX,USD,GBP=X,
^OEX,600.4299926757812,2006-09-08,INDEX,USD,GBP=X,
^OEX,608.8300170898438,2006-09-15,INDEX,USD,GBP=X,
^OEX,609.3800048828125,2006-09-22,INDEX,USD,GBP=X,
^OEX,620.030029296875,2006-09-29,INDEX,USD,GBP=X,
^OEX,627.5399780273438,2006-10-06,INDEX,USD,GBP=X,
^OEX,633.6099853515625,2006-10-13,INDEX,USD,GBP=X,
^OEX,636.010009765625,2006-10-20,INDEX,USD,GBP=X,
^OEX,640.5700073242188,2006-10-27,INDEX,USD,GBP=X,
^OEX,649.8900146484375,2007-03-30,INDEX,USD,GBP=X,
^OEX,665.3499755859375,2007-04-13,INDEX,USD,GBP=X,
^OEX,680.8200073242188,2007-04-20,INDEX,USD,GBP=X,
^OEX,684.4199829101562,2007-04-27,INDEX,USD,GBP=X,
^OEX,690.9500122070312,2007-05-04,INDEX,USD,GBP=X,
^OEX,690.0399780273438,2007-05-11,INDEX,USD,GBP=X,
^OEX,699.7999877929688,2007-05-18,INDEX,USD,GBP=X,
^OEX,697.27001953125,2007-05-25,INDEX,USD,GBP=X,
^OEX,704.7100219726562,2007-06-01,INDEX,USD,GBP=X,
^OEX,693.1099853515625,2007-06-08,INDEX,USD,GBP=X,
^OEX,704.530029296875,2007-06-15,INDEX,USD,GBP=X,
^OEX,690.77001953125,2007-06-22,INDEX,USD,GBP=X,
^OEX,692.77001953125,2007-06-29,INDEX,USD,GBP=X,
^OEX,704.5,2007-07-06,INDEX,USD,GBP=X,
^OEX,717.1699829101562,2007-07-13,INDEX,USD,GBP=X,
^OEX,709.9199829101562,2007-07-20,INDEX,USD,GBP=X,
^OEX,679.1400146484375,2007-07-27,INDEX,USD,GBP=X,
^OEX,667.4199829101562,2007-08-03,INDEX,USD,GBP=X,
^OEX,675.6199951171875,2007-08-10,INDEX,USD,GBP=X,
^OEX,674.530029296875,2007-08-17,INDEX,USD,GBP=X,
^OEX,689.469970703125,2007-08-24,INDEX,USD,GBP=X,
^OEX,687.469970703125,2007-08-31,INDEX,USD,GBP=X,
^OEX,677.739990234375,2007-09-07,INDEX,USD,GBP=X,
^OEX,694.3800048828125,2007-09-14,INDEX,USD,GBP=X,
^OEX,713.3499755859375,2007-09-21,INDEX,USD,GBP=X,
^OEX,714.489990234375,2007-09-28,INDEX,USD,GBP=X,
^OEX,725.8300170898438,2007-10-05,INDEX,USD,GBP=X,
^OEX,727.77001953125,2007-10-12,INDEX,USD,GBP=X,
^OEX,700.3099975585938,2007-10-19,INDEX,USD,GBP=X,
^OEX,717.1799926757812,2007-10-26,INDEX,USD,GBP=X,
^OEX,657.7899780273438,2007-11-26,INDEX,USD,GBP=X,
^OEX,681.0499877929688,2007-12-18,INDEX,USD,GBP=X,
^OEX,679.8900146484375,2007-12-19,INDEX,USD,GBP=X,
^OEX,620.4299926757812,2008-01-18,INDEX,USD,GBP=X,
^OEX,612.8200073242188,2008-01-22,INDEX,USD,GBP=X,
^OEX,613.7100219726562,2008-03-31,INDEX,USD,GBP=X,
^OEX,632.8400268554688,2008-04-04,INDEX,USD,GBP=X,
^OEX,614.5900268554688,2008-04-11,INDEX,USD,GBP=X,
^OEX,640.5999755859375,2008-04-18,INDEX,USD,GBP=X,
^OEX,644.8499755859375,2008-04-25,INDEX,USD,GBP=X,
^OEX,641.0,2008-04-30,INDEX,USD,GBP=X,
^OEX,653.469970703125,2008-05-02,INDEX,USD,GBP=X,
^OEX,639.2000122070312,2008-05-09,INDEX,USD,GBP=X,
^OEX,652.1500244140625,2008-05-16,INDEX,USD,GBP=X,
^OEX,628.7899780273438,2008-05-23,INDEX,USD,GBP=X,
^OEX,639.1500244140625,2008-05-30,INDEX,USD,GBP=X,
^OEX,619.260009765625,2008-06-06,INDEX,USD,GBP=X,
^OEX,618.8599853515625,2008-06-13,INDEX,USD,GBP=X,
^OEX,597.1300048828125,2008-06-20,INDEX,USD,GBP=X,
^OEX,579.6199951171875,2008-06-27,INDEX,USD,GBP=X,
^OEX,581.0900268554688,2008-06-30,INDEX,USD,GBP=X,
^OEX,566.8099975585938,2008-07-11,INDEX,USD,GBP=X,
^OEX,580.5700073242188,2008-07-18,INDEX,USD,GBP=X,
^OEX,580.530029296875,2008-07-25,INDEX,USD,GBP=X,
^OEX,582.0900268554688,2008-08-01,INDEX,USD,GBP=X,
^OEX,601.0499877929688,2008-08-08,INDEX,USD,GBP=X,
^OEX,598.8800048828125,2008-08-15,INDEX,USD,GBP=X,
^OEX,596.7000122070312,2008-08-22,INDEX,USD,GBP=X,
^OEX,590.8300170898438,2008-08-29,INDEX,USD,GBP=X,
^OEX,573.489990234375,2008-09-05,INDEX,USD,GBP=X,
^OEX,577.7100219726562,2008-09-12,INDEX,USD,GBP=X,
^OEX,577.9099731445312,2008-09-19,INDEX,USD,GBP=X,
^OEX,565.1199951171875,2008-09-26,INDEX,USD,GBP=X,
^OEX,521.3800048828125,2008-10-03,INDEX,USD,GBP=X,
^OEX,427.45001220703125,2008-10-10,INDEX,USD,GBP=X,
^OEX,448.989990234375,2008-10-17,INDEX,USD,GBP=X,
^OEX,423.5199890136719,2008-10-24,INDEX,USD,GBP=X,
^OEX,395.8500061035156,2009-04-03,INDEX,USD,GBP=X,
^OEX,406.3299865722656,2009-04-17,INDEX,USD,GBP=X,
^OEX,402.4599914550781,2009-04-24,INDEX,USD,GBP=X,
^OEX,408.4800109863281,2009-05-01,INDEX,USD,GBP=X,
^OEX,431.2900085449219,2009-05-08,INDEX,USD,GBP=X,
^OEX,414.2300109863281,2009-05-15,INDEX,USD,GBP=X,
^OEX,414.4800109863281,2009-05-22,INDEX,USD,GBP=X,
^OEX,427.55999755859375,2009-05-29,INDEX,USD,GBP=X,
^OEX,437.1700134277344,2009-06-05,INDEX,USD,GBP=X,
^OEX,440.29998779296875,2009-06-12,INDEX,USD,GBP=X,
^OEX,430.42999267578125,2009-06-19,INDEX,USD,GBP=X,
^OEX,428.8699951171875,2009-06-26,INDEX,USD,GBP=X,
^OEX,412.2900085449219,2009-07-10,INDEX,USD,GBP=X,
^OEX,441.1400146484375,2009-07-17,INDEX,USD,GBP=X,
^OEX,456.4100036621094,2009-07-24,INDEX,USD,GBP=X,
^OEX,460.260009765625,2009-07-31,INDEX,USD,GBP=X,
^OEX,468.07000732421875,2009-08-07,INDEX,USD,GBP=X,
^OEX,466.2200012207031,2009-08-14,INDEX,USD,GBP=X,
^OEX,476.1099853515625,2009-08-21,INDEX,USD,GBP=X,
^OEX,477.75,2009-08-28,INDEX,USD,GBP=X,
^OEX,472.1700134277344,2009-09-04,INDEX,USD,GBP=X,
^OEX,482.29998779296875,2009-09-11,INDEX,USD,GBP=X,
^OEX,492.70001220703125,2009-09-18,INDEX,USD,GBP=X,
^OEX,484.1099853515625,2009-09-25,INDEX,USD,GBP=X,
^OEX,475.4800109863281,2009-10-02,INDEX,USD,GBP=X,
^OEX,495.1499938964844,2009-10-09,INDEX,USD,GBP=X,
^OEX,502.8900146484375,2009-10-16,INDEX,USD,GBP=X,
^OEX,500.0,2009-10-23,INDEX,USD,GBP=X,
^OEX,545.4600219726562,2010-04-09,INDEX,USD,GBP=X,
^OEX,544.6799926757812,2010-04-16,INDEX,USD,GBP=X,
^OEX,552.6599731445312,2010-04-23,INDEX,USD,GBP=X,
^OEX,540.280029296875,2010-04-30,INDEX,USD,GBP=X,
^OEX,506.75,2010-05-07,INDEX,USD,GBP=X,
^OEX,516.1900024414062,2010-05-14,INDEX,USD,GBP=X,
